title,artists,genres
SEMATARY & GHOST MOUNTAIN - NEW ROCKS **VIDEO IN DESCRIPTION**,sematary,cloud rap
JD,friendzone,
SoFaygo - Hate When It Rains,"sofaygo, angelicmf (@angelicfaygo)","plugg, glitchcore"
ken carson - Kel Tec / Everytime ft. Destroy Lonely @BENJI EXCLUSIVE,"Ken Carson, Destroy Lonely",rage rap
50 (produced by malenkiyyarche),Duwap Kaine,"dark plugg, pluggnb, vapor trap"
hardrock - bleh [prod. saint],Hardrock,rage rap
KANYE WEST JESSE  (DONDA 2 LEAK),Kanye West,"rap, chicago rap, hip hop"
Travis Scott - Lost Forever (feat. Westside Gunn) [leaked],Travis Scott,"rap, slap house, hip hop"
Kanye West Never Forgive Yourself / Yeah I Know,Kanye West,"rap, chicago rap, hip hop"
destroy lonely - met gala,Destroy Lonely,rage rap
mall grab x denzel curry x maxo kream,"Denzel Curry, Mall Grab, Maxo Kream","lo-fi house, houston rap, vapor trap, rap, aussietronica, dark trap, drill, underground hip hop, australian house, hip hop, melodic rap, miami hip hop"
izaya sorry sorry,Izaya Tiji,"plugg, pluggnb, dream plugg"
Out on Bond,Duwap Kaine,"dark plugg, pluggnb, vapor trap"
skeleton playboicarti,Playboi Carti,"atl hip hop, rap, rage rap, plugg, pluggnb"
DJ KHALED - WHY THEY SO MAD FT. KANYE WEST (LEAK),Kanye West,"rap, chicago rap, hip hop"
Yeat-Split (with build up intro) best version,Yeat,"pluggnb, rage rap"
Yeat - Richer than ever/Weather (Extended & New Snippet),Yeat,"pluggnb, rage rap"
Sky Reach (carti),Playboi Carti,"atl hip hop, rap, rage rap, plugg, pluggnb"
protect - optics,Optics,
Kendrick Lamar - Bitchface,Kendrick Lamar,"west coast rap, conscious hip hop, rap, hip hop"
Mind Da Stick (Certified Trapper Flow) (Prod. Wicced),Duwap Kaine,"dark plugg, pluggnb, vapor trap"
KANYE WEST - WE DID IT KID FT. WILL.I.AM (DONDA 2 LEAK),Kanye West,"rap, chicago rap, hip hop"
Autumn - 50M Freestyle!  (prod Twinuzis),Autumn!,"plugg, glitchcore, pluggnb, emoplugg"
JID x YACHTY - Van Gogh,"Lil Yachty, JID","atl hip hop, rap, underground hip hop, trap, hip hop, melodic rap"
supervillian cash carti,Playboi Carti,"atl hip hop, rap, rage rap, plugg, pluggnb"
OTL Beezy - Hibachi [Prod: F1LTHY] @DJPHATTT EXCLUSIVE,OTL Beezy,
Gone Forever(prod. insanto + gianni marchetti),pesoloaded,
Fuck DistroKid (Prod. Bainz),Duwap Kaine,"dark plugg, pluggnb, vapor trap"
